Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
28-06-2024,28-06-2024,Monthly ChargesElite - Jun 2024,FE240628000536508518,131.25,0.00,"1,089.85"
24-06-2024,24-06-2024,VAT on Charges Amount,5452406246025855,0.75,0.00,"1,221.10"
24-06-2024,24-06-2024,IB-DFT-5452406246025855 Ref-REF 214 AL GHANDI AUTO - Charges,5452406246025855,15.00,0.00,"1,221.85"
24-06-2024,24-06-2024,IB-DFT-5452406246025855 Ref-REF 214 AL GHANDI AUTO,5452406246025855,"3,500.00",0.00,"1,236.85"
24-06-2024,24-06-2024,IB-IFT-5452406245960723 Ref-REF 3322 CENTURY EXPORTS LIMITED,5452406245960723,"1,128,285.40",0.00,"4,736.85"
24-06-2024,24-06-2024,FT24176CVDD3:-NBAD GDI HEDGES GOODS WHOLESALERS LLC REFPAYMENT AGAINST INV,404C240624CB531B,0.00,"299,158.00","1,133,022.25"
24-06-2024,24-06-2024,FT24176LNCTR:-ABIN GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404G240624CB3D1E,0.00,"249,544.00","833,864.25"
22-06-2024,22-06-2024,590582:-BMIS GDI TEKTON TRADING FZE REFPurchase Of Goods,404G240622C89ED4,0.00,"583,379.00","584,320.25"
21-06-2024,21-06-2024,VAT on Charges Amount,5452106245473901,0.75,0.00,941.25
21-06-2024,21-06-2024,IB-DFT-5452106245473901 Ref-REF 186 WISOR GENERAL TRADING L L C - Charges,5452106245473901,15.00,0.00,942.00
21-06-2024,21-06-2024,IB-DFT-5452106245473901 Ref-REF 186 WISOR GENERAL TRADING L L C,5452106245473901,"776,124.00",0.00,957.00
21-06-2024,21-06-2024,IB-IFT-5452106245463528 Ref-REF 189 REGENCI DMCC,5452106245463528,"734,800.00",0.00,"777,081.00"
21-06-2024,21-06-2024,EPHCOP17303YKUYU:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFPAYMENT AGAINST,404C240621C727AD,0.00,"476,945.00","1,511,881.00"
21-06-2024,21-06-2024,FT24173VJ8B1:-ABIN GDI HEDGES GOODS WHOLESALERS LLC REFPMNT AGNST INV,404G240621C6F6AD,0.00,"608,648.00","1,034,936.00"
21-06-2024,21-06-2024,FT24173B0J14:-NBAD GDI HEDGES GOODS WHOLESALERS LLC REFpmnt agnst inv,404G240621C6E9B8,0.00,"424,559.00","426,288.00"
21-06-2024,21-06-2024,IB-INTT-5452106245400851 Ref-ref 5566 Transfer within bank 19193337,5452106245400851,"734,850.00",0.00,"1,729.00"
21-06-2024,21-06-2024,IB-INTT-5452106245399587 Ref-PAYMENT AGAINST INV    Transfer within bank 1915792,5452106245399587,0.00,"237,060.00","736,579.00"
21-06-2024,21-06-2024,IB-INTT-5452106245398836 Ref-PAYMENT AGAINST INV    Transfer within bank 1915792,5452106245398836,0.00,"498,140.00","499,519.00"
20-06-2024,20-06-2024,IB-IFT-5452006245278401 Ref-pmnt agnst inv CENTURY EXPORTS LIMITED,5452006245278401,"734,800.00",0.00,"1,379.00"
20-06-2024,20-06-2024,MBKT24F20D911003:-CITI PIN MR ADITYA TRIVEDI REFMBKT24F20D911003,404C240620C55750,0.00,"734,000.00","736,179.00"
14-06-2024,14-06-2024,VAT on Charges Amount,5451406244531344,0.75,0.00,"2,179.00"
14-06-2024,14-06-2024,IB-DFT-5451406244531344 Ref-REF 03 ADITYA TRIVEDI - Charges,5451406244531344,15.00,0.00,"2,179.75"
14-06-2024,14-06-2024,IB-DFT-5451406244531344 Ref-REF 03 ADITYA TRIVEDI,5451406244531344,"908,400.00",0.00,"2,194.75"
14-06-2024,14-06-2024,EPHCOP16603XHOC8:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404C240614BE6FAE,0.00,"507,733.00","910,594.75"
14-06-2024,14-06-2024,EPHCOP16603XHLD6:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404C240614BE6C91,0.00,"400,922.00","402,861.75"
10-06-2024,10-06-2024,VAT on Charges Amount,5451006243468708,0.75,0.00,"1,939.75"
10-06-2024,10-06-2024,IB-DFT-5451006243468708 Ref-ref 023 ADITYA TRIVEDI ANIL TRIVEDI - Charges,5451006243468708,15.00,0.00,"1,940.50"
10-06-2024,10-06-2024,IB-DFT-5451006243468708 Ref-ref 023 ADITYA TRIVEDI ANIL TRIVEDI,5451006243468708,"367,000.00",0.00,"1,955.50"
10-06-2024,10-06-2024,IB-INTT-5451006243461802 Ref-Pmnt Agnst Inv    Transfer within bank 19157928ref,5451006243461802,0.00,"367,358.00","368,955.50"
08-06-2024,08-06-2024,VAT on Charges Amount,5450806243216399,0.75,0.00,"1,597.50"
08-06-2024,08-06-2024,IB-DFT-5450806243216399 Ref-ref 1234 SANDEEP KEDIA - Charges,5450806243216399,15.00,0.00,"1,598.25"
08-06-2024,08-06-2024,IB-DFT-5450806243216399 Ref-ref 1234 SANDEEP KEDIA,5450806243216399,"50,150.00",0.00,"1,613.25"
08-06-2024,08-06-2024,IB-INTT-5450806243214680 Ref-Pmnt agnst inv    Transfer within bank 19157928ref,5450806243214680,0.00,"50,885.00","51,763.25"
08-06-2024,08-06-2024,VAT on Charges Amount,5450806243213559,0.75,0.00,878.25
08-06-2024,08-06-2024,IB-DFT-5450806243213559 Ref-ref 5263 AHMAD MOHD AMIN SEDDIQ AL KAZIM - Charges,5450806243213559,15.00,0.00,879.00
08-06-2024,08-06-2024,IB-DFT-5450806243213559 Ref-ref 5263 AHMAD MOHD AMIN SEDDIQ AL KAZIM,5450806243213559,"2,140.00",0.00,894.00
08-06-2024,08-06-2024,IB-INTT-5450806243212023 Ref-pmnt agnst in    Transfer within bank 19157928ref 1,5450806243212023,0.00,"2,215.00","3,034.00"
06-06-2024,06-06-2024,IB-DFT-5450606242781422 Ref-ref 012 ADITYA TRIVEDI ANIL TRIVEDI,5450606242781422,"200,150.00",0.00,819.00
06-06-2024,06-06-2024,IB-INTT-5450606242778577 Ref-pmnt agnst inv    Transfer within bank 19152340ref,5450606242778577,0.00,"199,865.00","200,969.00"
05-06-2024,05-06-2024,VAT on Charges Amount,5450506242571635,0.75,0.00,"1,104.00"
05-06-2024,05-06-2024,IB-DFT-5450506242571635 Ref-ref 2589 ADITYA TRIVEDI ANIL TRIVEDI - Charges,5450506242571635,15.00,0.00,"1,104.75"
05-06-2024,05-06-2024,IB-DFT-5450506242571635 Ref-ref 2589 ADITYA TRIVEDI ANIL TRIVEDI,5450506242571635,"581,300.00",0.00,"1,119.75"
05-06-2024,05-06-2024,VAT on Charges Amount,5450506242570589,0.75,0.00,"582,419.75"
05-06-2024,05-06-2024,IB-DFT-5450506242570589 Ref-ref 1254 ADITYA TRIVEDI ANIL TRIVEDI - Charges,5450506242570589,15.00,0.00,"582,420.50"
05-06-2024,05-06-2024,IB-DFT-5450506242570589 Ref-ref 1254 ADITYA TRIVEDI ANIL TRIVEDI,5450506242570589,"500,800.00",0.00,"582,435.50"
05-06-2024,05-06-2024,FT24157SY4X8:-ABIN GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404C240605ABAB68,0.00,"149,125.00","1,083,235.50"
05-06-2024,05-06-2024,FT24157MWZD0:-ABIN GDI HEDGES GOODS WHOLESALERS LLC REFPMNT AGNST INV,404C240605ABA391,0.00,"457,265.00","934,110.50"
05-06-2024,05-06-2024,FT24157DGFVC:-NBAD GDI HEDGES GOODS WHOLESALERS LLC REFpmnt agnst inv,404C240605AB9D69,0.00,"458,580.00","476,845.50"
04-06-2024,04-06-2024,VAT on Charges Amount,5450406242337253,0.75,0.00,"18,265.50"
04-06-2024,04-06-2024,IB-DFT-5450406242337253 Ref-REF 127 SANDEEP KEDIA - Charges,5450406242337253,15.00,0.00,"18,266.25"
04-06-2024,04-06-2024,IB-DFT-5450406242337253 Ref-REF 127 SANDEEP KEDIA,5450406242337253,"172,156.00",0.00,"18,281.25"
04-06-2024,04-06-2024,FT24156CRLTW:-ABIN GDI HEDGES GOODS WHOLESALERS LLC REFPAYMENT,404C240604A9D946,0.00,"125,191.00","190,437.25"
