Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
31-12-2024,31-12-2024,EPHCOP36605F7FXY:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFpmnt agnst inv,404C241231707CDB,0.00,"260,118.00","266,451.47"
31-12-2024,31-12-2024,VAT on Charges Amount,5453112244102758,0.75,0.00,"6,333.47"
31-12-2024,31-12-2024,IB-DFT-5453112244102758 Ref-ref 42 ENFLOW GENERAL TRADING LLC - Charges,5453112244102758,15.00,0.00,"6,334.22"
31-12-2024,31-12-2024,IB-DFT-5453112244102758 Ref-ref 42 ENFLOW GENERAL TRADING LLC,5453112244102758,"294,883.00",0.00,"6,349.22"
31-12-2024,31-12-2024,IB-INTT-5453112244093946 Ref-ref 3028 Transfer within bank 19172125,5453112244093946,"3,028.00",0.00,"301,232.22"
31-12-2024,31-12-2024,EPHCOP36605F5HNN:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404G2412317033A7,0.00,"301,442.00","304,260.22"
28-12-2024,28-12-2024,Monthly ChargesOne - Dec 2024,FE241228000540186139,472.50,0.00,"2,818.22"
26-12-2024,26-12-2024,FX Cash Rewards Campaign 15th Jun 15th Sep 2024,57114421190224SQYbGu,0.00,"1,300.00","3,290.72"
20-12-2024,20-12-2024,POS-171224-Etisalat ETC B2B,51119122490715361,"1,833.16",0.00,"1,990.72"
06-12-2024,06-12-2024,POS-031224-IMMIGRATION CANADA ONLINE,51105122455386521,0.00,580.20,"3,823.88"
30-11-2024,30-11-2024,VAT on Charges Amount,5453011243724340,0.75,0.00,"3,243.68"
30-11-2024,30-11-2024,IB-DFT-5453011243724340 Ref-2053 RED STONE GOODS WHOLESALERS LLC - Charges,5453011243724340,15.00,0.00,"3,244.43"
30-11-2024,30-11-2024,IB-DFT-5453011243724340 Ref-2053 RED STONE GOODS WHOLESALERS LLC,5453011243724340,"2,053.00",0.00,"3,259.43"
29-11-2024,29-11-2024,IB-INTT-5452911243420580 Ref-ref 295 Transfer within bank 19193337,5452911243420580,"295,224.00",0.00,"5,312.43"
29-11-2024,29-11-2024,033DBLC243340364:-BOML GDI PINNACLE INTERNATIONAL GENERAL TRAD REF GOODS BOUGH,404C24112929E3B3,0.00,"300,058.00","300,536.43"
28-11-2024,28-11-2024,Monthly ChargesOne - Nov 2024,FE241128000539509448,472.50,0.00,478.43
25-11-2024,25-11-2024,POS-211124-IMMIGRATION CANADA ONLINE,51123112439672191,625.09,0.00,950.93
25-11-2024,25-11-2024,POS-211124-IMMIGRATION CANADA ONLINE,51123112439672181,421.26,0.00,"1,576.02"
22-11-2024,22-11-2024,POS-181124-DUBAI ELECTRICITY,51121112426800901,871.89,0.00,"1,997.28"
22-11-2024,22-11-2024,POS-181124-DUBAI ELECTRICITY,51121112426800881,496.02,0.00,"2,869.17"
21-11-2024,21-11-2024,IB-INTT-5452111249907034 Ref-inter group    Transfer within bank 191693281000,5452111249907034,0.00,"1,000.00","3,365.19"
21-11-2024,21-11-2024,POS-181124-Etisalat ETC B2B,51120112421945811,"1,838.97",0.00,"2,365.19"
21-11-2024,21-11-2024,POS-181124-ETISALAT QUICKPAY,51120112421972261,501.90,0.00,"4,204.16"
18-11-2024,18-11-2024,IB-INTT-5451811248967332 Ref-inter group    Transfer within bank 191693283250,5451811248967332,0.00,"3,250.00","4,706.06"
16-11-2024,16-11-2024,POS-131124-IMMIGRATION CANADA ONLINE,51115112472672421,422.38,0.00,"1,456.06"
15-11-2024,15-11-2024,POS-121124-IMMIGRATION CANADA ONLINE,51114112463078261,422.69,0.00,"1,878.44"
08-11-2024,08-11-2024,3 Months Duplicate Statement Fees - 18,00624110801800590,157.50,0.00,"2,301.13"
08-11-2024,08-11-2024,Duplicate Statement of Account (per statement cycle) - 18,00624110801800582,52.50,0.00,"2,458.63"
08-11-2024,08-11-2024,Adhoc Statement Fee,562CERT0811361426870,78.75,0.00,"2,511.13"
05-11-2024,05-11-2024,VAT on Charges Amount,5450511245242601,0.75,0.00,"2,589.88"
05-11-2024,05-11-2024,IB-DFT-5450511245242601 Ref-200000 AUTO LAND LUXURY AUTOMOBILES LLC - Charges,5450511245242601,15.00,0.00,"2,590.63"
05-11-2024,05-11-2024,IB-DFT-5450511245242601 Ref-200000 AUTO LAND LUXURY AUTOMOBILES LLC,5450511245242601,"200,000.00",0.00,"2,605.63"
05-11-2024,05-11-2024,EPHCOP31004Z2C1S:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFpmnt agnst inv P,404G241105F3626E,0.00,"201,266.00","202,605.63"
31-10-2024,31-10-2024,VAT on Charges Amount,5453110243901290,7.25,0.00,"1,339.63"
31-10-2024,31-10-2024,IB-IFT-5453110243901290 Ref-25000 PGCO INTERNATIONAL TRADING INC - Charges,5453110243901290,145.00,0.00,"1,346.88"
31-10-2024,31-10-2024,IB-IFT-5453110243901290 Ref-25000 PGCO INTERNATIONAL TRADING INC,5453110243901290,"92,737.50",0.00,"1,491.88"
31-10-2024,31-10-2024,EPHCOP30504XM26X:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFpmnt agnst inv P,404C241031EAEB3A,0.00,"51,224.00","94,229.38"
31-10-2024,31-10-2024,IB-INTT-5453110243888731 Ref-inter group trf    Transfer within bank 19169328415,5453110243888731,0.00,"41,500.00","43,005.38"
28-10-2024,28-10-2024,POS-251024-EMARAT-PREPAID TOP UP-3D,51126102476150541,500.00,0.00,"1,505.38"
28-10-2024,28-10-2024,Monthly ChargesOne - Oct 2024,FE241028000538875513,472.50,0.00,"2,005.38"
22-10-2024,22-10-2024,IB-INTT-5452210241473093 Ref-1822336 Transfer within bank 19193337,5452210241473093,"1,822,336.00",0.00,"2,477.88"
22-10-2024,22-10-2024,IB-INTT-5452210241469956 Ref-1855291 Transfer within bank 19193337,5452210241469956,"1,855,291.00",0.00,"1,824,813.88"
