Transaction Date,Value Date,Narrative,Transaction Reference,Debit,Credit,Running Balance
28-09-2024,28-09-2024,IB-INTT-5452809243570026 Ref-REF2145 Transfer within bank 19172125,5452809243570026,"2,145.00",0.00,"1,801.88"
28-09-2024,28-09-2024,VAT on Charges Amount,5452809243562531,0.75,0.00,"3,946.88"
28-09-2024,28-09-2024,IB-DFT-5452809243562531 Ref-35100 MARYAM JAVAID KHAN - Charges,5452809243562531,15.00,0.00,"3,947.63"
28-09-2024,28-09-2024,IB-DFT-5452809243562531 Ref-35100 MARYAM JAVAID KHAN,5452809243562531,"35,100.00",0.00,"3,962.63"
28-09-2024,28-09-2024,EPHCOP27204OHBZ5:-EBIL GDI ROYAL EN EM GENERAL TRADING LLC REFPMNT AGNST INV,404G240928A5D049,0.00,"34,982.00","39,062.63"
28-09-2024,28-09-2024,Monthly ChargesOne - Sep 2024,FE240928000538254344,472.50,0.00,"4,080.63"
26-09-2024,26-09-2024,IB-INTT-5452609242931157 Ref-ref 140 Transfer within bank 19172125,5452609242931157,"140,538.00",0.00,"4,553.13"
26-09-2024,26-09-2024,IB-INTT-5452609242921552 Ref-pmnt agnst inv    Transfer within bank 19247332ref,5452609242921552,0.00,"92,248.00","145,091.13"
26-09-2024,26-09-2024,IB-INTT-5452609242915773 Ref-pmnt agnst inv    Transfer within bank 19247332ref,5452609242915773,0.00,"47,315.00","52,843.13"
24-09-2024,24-09-2024,POS-200924-DUBAI ELECTRICITY,51123092479270411,455.44,0.00,"5,528.13"
24-09-2024,24-09-2024,POS-200924-DUBAI ELECTRICITY,51123092479270431,235.47,0.00,"5,983.57"
20-09-2024,20-09-2024,IB-INTS-5452009241372096 Ref-REF414805 Transfer within bank 19169543,5452009241372096,"414,805.00",0.00,"6,219.04"
20-09-2024,20-09-2024,IB-INTT-5452009241364832 Ref-PAYMENT AGAINST INV    Transfer within bank 1924733,5452009241364832,0.00,"417,125.00","421,024.04"
19-09-2024,19-09-2024,POS-160924-ETISALAT QUICKPAY,51118092445327511,501.90,0.00,"3,899.04"
19-09-2024,19-09-2024,POS-160924-Etisalat ETC B2B,51118092445304821,"2,199.75",0.00,"4,400.94"
16-09-2024,16-09-2024,IB-INTT-5451609248968103 Ref-ref 85 Transfer within bank 19172125,5451609248968103,"8,452.00",0.00,"6,600.69"
